#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T09:30:00Z,0.009478672985781998,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T09:40:00Z,0.014449999999999985,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T09:50:00Z,0.010449999999999989,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T10:00:00Z,0.008774999999999995,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T10:10:00Z,0.006624999999999999,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T10:20:00Z,0.013424999999999979,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T10:30:00Z,0.009699999999999997,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T10:40:00Z,0.012949999999999986,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T10:50:00Z,0.01117499999999999,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T11:00:00Z,0.017424999999999975,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T11:10:00Z,0.01849999999999996,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T11:20:00Z,0.014674999999999994,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T11:30:00Z,0.018449999999999966,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
,,0,2024-08-28T09:24:43.001222955Z,2024-08-30T09:24:43.001222955Z,2024-08-28T11:40:00Z,0.016649999999999995,ax,mqtt_consumer,3d34d045aacc,Encostas/dados
