#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:43:00Z,-0.2733333333333334,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:43:10Z,-0.23857142857142857,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:43:20Z,-0.24833333333333332,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:43:30Z,-0.2571428571428572,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:43:40Z,-0.27142857142857146,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:43:50Z,-0.25666666666666665,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:44:00Z,-0.23714285714285713,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:44:10Z,-0.26142857142857145,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:44:20Z,-0.26333333333333336,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:44:30Z,-0.23857142857142857,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:44:40Z,-0.2557142857142857,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:44:50Z,-0.23333333333333336,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:45:00Z,-0.25142857142857145,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:45:10Z,-0.23857142857142857,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:45:20Z,-0.24833333333333332,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:45:30Z,-0.24571428571428572,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:45:40Z,-0.2342857142857143,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:45:50Z,-0.255,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:46:00Z,-0.22285714285714286,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:46:10Z,-0.25,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:46:20Z,-0.23666666666666666,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:46:30Z,-0.25,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:46:40Z,-0.24571428571428572,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:46:50Z,-0.24333333333333332,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:47:00Z,-0.2671428571428572,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:47:10Z,-0.2542857142857143,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:47:20Z,-0.25333333333333335,ax,mqtt_consumer,7ada292730b7,Encostas/dados
,,0,2024-08-30T23:33:04.676072164Z,2024-08-31T00:33:04.676072164Z,2024-08-30T23:47:30Z,-0.2442857142857143,ax,mqtt_consumer,7ada292730b7,Encostas/dados
